[Thu Oct 17 15:00:48.684474 2019] [proxy_fcgi:error] [pid 1154:tid 140037811304192] (22)Invalid argument: [client 172.17.0.1:43618] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php
[Thu Oct 17 15:00:52.769302 2019] [proxy_fcgi:error] [pid 1154:tid 140037760947968] [client 172.17.0.1:43642] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post.php?post=23&action=edit
[Thu Oct 17 15:00:52.769515 2019] [proxy_fcgi:error] [pid 1154:tid 140037760947968] (22)Invalid argument: [client 172.17.0.1:43642] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post.php?post=23&action=edit
[Thu Oct 17 15:01:10.209332 2019] [proxy_fcgi:error] [pid 1155:tid 140037769340672] [client 172.17.0.1:43748] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php
[Thu Oct 17 15:01:10.209544 2019] [proxy_fcgi:error] [pid 1155:tid 140037769340672] (22)Invalid argument: [client 172.17.0.1:43748] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php
[Thu Oct 17 15:01:14.978024 2019] [proxy_fcgi:error] [pid 1155:tid 140037777733376] [client 172.17.0.1:43772] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post.php?post=11&action=edit
[Thu Oct 17 15:01:14.978198 2019] [proxy_fcgi:error] [pid 1155:tid 140037777733376] (22)Invalid argument: [client 172.17.0.1:43772] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post.php?post=11&action=edit
[Thu Oct 17 15:17:14.774548 2019] [proxy_fcgi:error] [pid 1154:tid 140037718984448] [client 172.17.0.1:44856] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Thu Oct 17 15:17:14.774832 2019] [proxy_fcgi:error] [pid 1154:tid 140037718984448] (22)Invalid argument: [client 172.17.0.1:44856] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Thu Oct 17 15:18:27.198659 2019] [proxy_fcgi:error] [pid 1154:tid 140037777733376] [client 172.17.0.1:45082] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php
[Thu Oct 17 15:18:27.198866 2019] [proxy_fcgi:error] [pid 1154:tid 140037777733376] (22)Invalid argument: [client 172.17.0.1:45082] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php
[Thu Oct 17 15:18:44.629680 2019] [proxy_fcgi:error] [pid 1155:tid 140037760947968] [client 172.17.0.1:45150] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post.php?post=1&action=edit
[Thu Oct 17 15:18:44.629890 2019] [proxy_fcgi:error] [pid 1155:tid 140037760947968] (22)Invalid argument: [client 172.17.0.1:45150] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post.php?post=1&action=edit
[Fri Oct 18 02:51:03.152696 2019] [proxy_fcgi:error] [pid 1155:tid 140037760947968] [client 172.17.0.1:46542] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Fri Oct 18 02:51:03.152957 2019] [proxy_fcgi:error] [pid 1155:tid 140037760947968] (22)Invalid argument: [client 172.17.0.1:46542] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Fri Oct 18 02:51:07.926200 2019] [proxy_fcgi:error] [pid 1154:tid 140037828089600] [client 172.17.0.1:46658] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post-new.php?post_type=page
[Fri Oct 18 02:51:07.943840 2019] [proxy_fcgi:error] [pid 1154:tid 140037828089600] (22)Invalid argument: [client 172.17.0.1:46658] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post-new.php?post_type=page
[Fri Oct 18 02:51:59.734951 2019] [proxy_fcgi:error] [pid 1155:tid 140037735769856] [client 172.17.0.1:47198] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Fri Oct 18 02:51:59.735147 2019] [proxy_fcgi:error] [pid 1155:tid 140037735769856] (22)Invalid argument: [client 172.17.0.1:47198] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Fri Oct 18 13:54:51.916592 2019] [proxy_fcgi:error] [pid 1155:tid 140037975062272] [client 172.17.0.1:49732] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Fri Oct 18 13:54:51.916897 2019] [proxy_fcgi:error] [pid 1155:tid 140037975062272] (22)Invalid argument: [client 172.17.0.1:49732] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Fri Oct 18 13:54:57.160420 2019] [proxy_fcgi:error] [pid 1154:tid 140037777733376] [client 172.17.0.1:49856] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post.php?post=63&action=edit
[Fri Oct 18 13:54:57.211229 2019] [proxy_fcgi:error] [pid 1154:tid 140037777733376] (22)Invalid argument: [client 172.17.0.1:49856] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post.php?post=63&action=edit
[Fri Oct 18 13:55:18.801825 2019] [proxy_fcgi:error] [pid 1154:tid 140037786126080] [client 172.17.0.1:50384] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Fri Oct 18 13:55:18.802145 2019] [proxy_fcgi:error] [pid 1154:tid 140037786126080] (22)Invalid argument: [client 172.17.0.1:50384] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Fri Oct 18 13:55:24.658066 2019] [proxy_fcgi:error] [pid 1154:tid 140037870053120] [client 172.17.0.1:50404] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post.php?post=65&action=edit
[Fri Oct 18 13:55:24.658367 2019] [proxy_fcgi:error] [pid 1154:tid 140037870053120] (22)Invalid argument: [client 172.17.0.1:50404] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post.php?post=65&action=edit
[Fri Oct 18 13:56:18.312267 2019] [proxy_fcgi:error] [pid 1154:tid 140037802911488] [client 172.17.0.1:50824] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Fri Oct 18 13:56:18.312447 2019] [proxy_fcgi:error] [pid 1154:tid 140037802911488] (22)Invalid argument: [client 172.17.0.1:50824] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Fri Oct 18 13:56:48.393383 2019] [proxy_fcgi:error] [pid 1155:tid 140037718984448] [client 172.17.0.1:51032] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post.php?post=50&action=edit
[Fri Oct 18 13:56:48.393573 2019] [proxy_fcgi:error] [pid 1155:tid 140037718984448] (22)Invalid argument: [client 172.17.0.1:51032] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post.php?post=50&action=edit
[Fri Oct 18 14:03:01.330480 2019] [proxy_fcgi:error] [pid 1154:tid 140037861660416] [client 172.17.0.1:51562] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php
[Fri Oct 18 14:03:01.330646 2019] [proxy_fcgi:error] [pid 1154:tid 140037861660416] (22)Invalid argument: [client 172.17.0.1:51562] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php
[Fri Oct 18 14:03:11.505193 2019] [proxy_fcgi:error] [pid 1154:tid 140037802911488] [client 172.17.0.1:51590] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post.php?post=1&action=edit
[Fri Oct 18 14:03:11.505456 2019] [proxy_fcgi:error] [pid 1154:tid 140037802911488] (22)Invalid argument: [client 172.17.0.1:51590] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post.php?post=1&action=edit
[Fri Oct 18 14:05:00.227456 2019] [proxy_fcgi:error] [pid 1155:tid 140037844875008] [client 172.17.0.1:51722] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Fri Oct 18 14:05:00.227666 2019] [proxy_fcgi:error] [pid 1155:tid 140037844875008] (22)Invalid argument: [client 172.17.0.1:51722] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Fri Oct 18 14:06:55.362884 2019] [proxy_fcgi:error] [pid 1154:tid 140037777733376] [client 172.17.0.1:52010] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/post.php?post=63&action=edit
[Fri Oct 18 14:06:55.363076 2019] [proxy_fcgi:error] [pid 1154:tid 140037777733376] (22)Invalid argument: [client 172.17.0.1:52010] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/post.php?post=63&action=edit
[Fri Oct 18 16:45:46.116526 2019] [proxy_fcgi:error] [pid 1155:tid 140037794518784] [client 172.17.0.1:53546] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/customize.php?return=%2Fwp-admin%2Fwidgets.php
[Fri Oct 18 16:45:46.116801 2019] [proxy_fcgi:error] [pid 1155:tid 140037794518784] (22)Invalid argument: [client 172.17.0.1:53546] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/customize.php?return=%2Fwp-admin%2Fwidgets.php
[Fri Oct 18 16:45:46.147560 2019] [proxy_fcgi:error] [pid 1155:tid 140037836482304] [client 172.17.0.1:53590] AH01068: Got bogus version 116, referer: http://hellodolly.local/wp-admin/customize.php?return=%2Fwp-admin%2Fwidgets.php
[Fri Oct 18 16:45:46.147828 2019] [proxy_fcgi:error] [pid 1155:tid 140037836482304] (22)Invalid argument: [client 172.17.0.1:53590] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/customize.php?return=%2Fwp-admin%2Fwidgets.php
[Fri Oct 18 17:08:08.409016 2019] [proxy_fcgi:error] [pid 1154:tid 140037735769856] [client 172.17.0.1:54132] AH01068: Got bogus version 100, referer: http://hellodolly.local/wp-admin/customize.php?url=http%3A%2F%2Fhellodolly.local%2Fhome%2F
[Fri Oct 18 17:08:08.409234 2019] [proxy_fcgi:error] [pid 1154:tid 140037735769856] (22)Invalid argument: [client 172.17.0.1:54132] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/customize.php?url=http%3A%2F%2Fhellodolly.local%2Fhome%2F
[Sat Oct 19 03:40:09.853110 2019] [proxy_fcgi:error] [pid 1155:tid 140037870053120] [client 172.17.0.1:55380] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Sat Oct 19 03:40:09.853557 2019] [proxy_fcgi:error] [pid 1155:tid 140037870053120] (22)Invalid argument: [client 172.17.0.1:55380] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
